family,catalog_items,orig_l1_count,orig_items_per_l1,orig_l2_count,orig_items_per_l2,v2_l1_count,v2_items_per_l1,v2_l2_count,v2_items_per_l2,r650_l1_count,r650_items_per_l1,r650_l2_count,r650_items_per_l2,r660_l1_count,r660_items_per_l1,r660_l2_count,r660_items_per_l2
3d_filament,386,21,18.38095238095238,149,2.5906040268456376,46,8.391304347826088,185,2.0864864864864865,39,9.897435897435898,201,1.9203980099502487,38,10.157894736842104,175,2.2057142857142855
connector_fitting,274,19,14.421052631578947,164,1.670731707317073,44,6.2272727272727275,193,1.4196891191709844,49,5.591836734693878,205,1.3365853658536586,43,6.372093023255814,189,1.4497354497354498
gauge_meter,338,29,11.655172413793103,224,1.5089285714285714,80,4.225,245,1.379591836734694,85,3.976470588235294,261,1.2950191570881227,72,4.694444444444445,234,1.4444444444444444
tape,217,22,9.863636363636363,137,1.583941605839416,44,4.931818181818182,167,1.2994011976047903,47,4.617021276595745,162,1.3395061728395061,41,5.2926829268292686,157,1.3821656050955413
adhesive_epoxy,125,14,8.928571428571429,92,1.358695652173913,28,4.464285714285714,99,1.2626262626262625,32,3.90625,97,1.288659793814433,28,4.464285714285714,93,1.3440860215053763
fastener,187,27,6.925925925925926,117,1.5982905982905984,54,3.462962962962963,155,1.206451612903226,44,4.25,154,1.2142857142857142,44,4.25,142,1.3169014084507042
other,2065,45,45.888888888888886,1459,1.415352981494174,183,11.28415300546448,1641,1.258379037172456,185,11.162162162162161,1699,1.2154208357857563,171,12.076023391812866,1627,1.2692071296865397
ventilation_fan,58,24,2.4166666666666665,50,1.16,34,1.7058823529411764,51,1.1372549019607843,35,1.6571428571428573,53,1.0943396226415094,35,1.6571428571428573,50,1.16
metadata_placeholder,27,3,9.0,24,1.125,5,5.4,20,1.35,4,6.75,22,1.2272727272727273,6,4.5,23,1.173913043478261
