level,param,mean_l2_sq_drift,rms_drift,relative_rms_drift
1,rq.vq_layers.0.embedding.weight,0.33360159397125244,0.5775825381278992,1.5460746578612146
2,rq.vq_layers.1.embedding.weight,0.13579139113426208,0.368498831987381,1.4920326201951866
3,rq.vq_layers.2.embedding.weight,0.07546742260456085,0.27471333742141724,1.4633543857331897
