baseline,variant,n_items,changed_l1_rate,changed_l2_rate,changed_full_sid_rate,l1_pair_retention,l2_pair_retention,mean_l1_neighbor_jaccard,mean_l2_neighbor_jaccard,mean_l1_neighbor_recall,mean_l2_neighbor_recall
current_v2,r202a,3686,0.9964731416169289,1.0,1.0,0.4137271771341172,0.6121979286536249,0.2400845399701954,0.5890072388064201,0.3901818353112293,0.7772118225116055
current_v2,r401b_g005,3686,0.9956592512208355,1.0,1.0,0.4106442978682726,0.45416187188339086,0.34502656333094867,0.6313147672548107,0.41641195202071785,0.7243810772636057
