family,n,ndcg@1,ndcg@3,ndcg@5,ndcg@10,hr@1,hr@3,hr@5,hr@10,hr@50,top10_has_target_l1,top10_has_target_l2,top1_same_family,top1_same_brand,top1_history_repeat,top10_history_repeat_mean,target_l1_in_history,target_l2_in_history,mean_target_l1_bucket_size,mean_target_l2_bucket_size,l1_routing_miss_count,l2_routing_miss_after_l1_hit_count,leaf_or_ranking_miss_after_l2_hit_count,hit10_count
other,1505,0.05249169435215947,0.06393741249881381,0.06636729307586782,0.07053164762315167,0.05249169435215947,0.07242524916943521,0.07840531561461794,0.09102990033222591,0.14750830564784054,0.27375415282392024,0.11162790697674418,0.453156146179402,0.07906976744186046,0.4863787375415282,1.6996677740863788,0.25514950166112954,0.07441860465116279,91.26644518272425,2.3229235880398673,1093,244,31,137
3d_filament,1232,0.024350649350649352,0.05372544814471319,0.0716776531886686,0.09530382780082168,0.024350649350649352,0.0762987012987013,0.12012987012987013,0.19318181818181818,0.37012987012987014,0.6931818181818182,0.35633116883116883,0.7962662337662337,0.28814935064935066,0.2353896103896104,1.3758116883116882,0.6607142857142857,0.32386363636363635,183.41396103896105,15.401785714285714,378,415,201,238
adhesive_epoxy,496,0.024193548387096774,0.03256985638680905,0.038471244299784955,0.042787628441267565,0.024193548387096774,0.038306451612903226,0.05241935483870968,0.06653225806451613,0.13306451612903225,0.29838709677419356,0.09475806451612903,0.18346774193548387,0.06854838709677419,0.5,1.7237903225806452,0.2842741935483871,0.07459677419354839,80.125,2.534274193548387,348,101,14,33
gauge_meter,375,0.384,0.41688804413333447,0.4233114157202276,0.4345396946013395,0.384,0.44,0.456,0.49066666666666664,0.5786666666666667,0.656,0.49866666666666665,0.4826666666666667,0.392,0.656,1.7013333333333334,0.48,0.376,65.43466666666667,2.082666666666667,129,59,3,184
connector_fitting,314,0.03821656050955414,0.05061397853730692,0.05733231942752385,0.06560168063689607,0.03821656050955414,0.06050955414012739,0.07643312101910828,0.10191082802547771,0.1592356687898089,0.34394904458598724,0.12101910828025478,0.27070063694267515,0.07006369426751592,0.4426751592356688,1.6560509554140128,0.3184713375796178,0.07961783439490445,106.79299363057325,2.4012738853503186,206,70,6,32
fastener,313,0.07028753993610223,0.07591648404837992,0.07962433843081962,0.0849651437467741,0.07028753993610223,0.07987220447284345,0.08945686900958466,0.10543130990415335,0.14696485623003194,0.2779552715654952,0.13099041533546327,0.19808306709265175,0.09904153354632587,0.46006389776357826,1.6645367412140575,0.3194888178913738,0.1182108626198083,122.08945686900958,2.757188498402556,226,46,8,33
tape,238,0.01680672268907563,0.033713105102041306,0.04257679854543674,0.04778223145342384,0.01680672268907563,0.046218487394957986,0.06722689075630252,0.08403361344537816,0.15546218487394958,0.3277310924369748,0.12184873949579832,0.13865546218487396,0.11764705882352941,0.4957983193277311,1.7521008403361344,0.37815126050420167,0.10504201680672269,106.5546218487395,3.4747899159663866,160,49,9,20
metadata_placeholder,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.16666666666666666,0.0,0.0,0.0,0.4666666666666667,1.6666666666666667,0.06666666666666667,0.0,30.633333333333333,1.1333333333333333,25,5,0,0
ventilation_fan,23,0.0,0.07660258726708326,0.07660258726708326,0.10558809451346009,0.0,0.13043478260869565,0.13043478260869565,0.21739130434782608,0.34782608695652173,0.391304347826087,0.21739130434782608,0.0,0.0,0.5652173913043478,1.608695652173913,0.2608695652173913,0.17391304347826086,92.65217391304348,1.7391304347826086,14,4,0,5
test_strip,7,0.14285714285714285,0.14285714285714285,0.20438236543905616,0.20438236543905616,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.5714285714285714,0.7142857142857143,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.42857142857142855,1.0,0.7142857142857143,0.14285714285714285,111.0,5.0,2,3,0,2
