variant,n,top1_l1_hit_rate,top1_l1l2_hit_rate,top1_exact_sid_hit_rate,top1_l2_hit_rate_given_l1_correct,top1_l3_hit_rate_given_l1l2_correct,beam_l1_contains_rate,beam_l1l2_contains_rate,beam_exact_contains_rate
r720b,4533,0.17780719170527245,0.10787557908669755,0.06926979924994485,0.6066997518610422,0.6421267893660532,0.5212883300242664,0.29936024707699094,0.2400176483564968
orig_align,4533,0.2470769909552173,0.13456871828810943,0.06353408338848444,0.5446428571428571,0.4721311475409836,0.6763732627399074,0.3227443194352526,0.24398852856827707
orig_best,4533,0.2671519964703287,0.13192146481358924,0.0670637546878447,0.49380677126341865,0.5083612040133779,0.6340172071475844,0.314802559011692,0.24531215530553718
