variant,l1,size,top_family,purity,n_families,top_families
R720e,40,6,other,0.5,4,other:3; test_strip:1; metadata_placeholder:1; gauge_meter:1
R720e,106,22,other,0.9091,2,other:20; connector_fitting:2
R720e,68,19,other,0.8421,4,other:16; 3d_filament:1; connector_fitting:1; gauge_meter:1
R720e,105,16,other,0.75,3,other:12; 3d_filament:3; fastener:1
R720e,76,16,other,0.6875,5,other:11; adhesive_epoxy:2; gauge_meter:1; tape:1; 3d_filament:1
R720e,115,18,tape,1.0,1,tape:18
R720e,11,6,other,0.8333,2,other:5; fastener:1
R720e,178,13,3d_filament,0.5385,2,3d_filament:7; other:6
R720e,223,42,3d_filament,0.9762,2,3d_filament:41; other:1
R720e,239,26,3d_filament,0.8077,2,3d_filament:21; other:5
R720e,254,30,other,1.0,1,other:30
R720e,21,17,other,0.9412,2,other:16; metadata_placeholder:1
R720e,65,15,other,0.9333,2,other:14; adhesive_epoxy:1
R720e,2,13,other,1.0,1,other:13
R720e,128,18,other,1.0,1,other:18
R720e,201,19,other,0.9474,2,other:18; gauge_meter:1
R720e,14,24,other,0.6667,3,other:16; gauge_meter:5; tape:3
R720e,158,25,other,0.8,2,other:20; gauge_meter:5
R720e,12,33,gauge_meter,0.7273,3,gauge_meter:24; other:8; connector_fitting:1
R720e,29,11,other,0.9091,2,other:10; gauge_meter:1
R720e,95,14,tape,1.0,1,tape:14
R720e,179,10,other,0.6,4,other:6; adhesive_epoxy:2; ventilation_fan:1; 3d_filament:1
R720e,114,10,other,0.5,3,other:5; adhesive_epoxy:4; ventilation_fan:1
R720e,249,14,other,0.5,5,other:7; 3d_filament:3; gauge_meter:2; ventilation_fan:1; connector_fitting:1
R720e,44,26,other,0.8462,3,other:22; gauge_meter:2; fastener:2
R720e,78,11,other,1.0,1,other:11
R720e,183,17,other,0.5294,3,other:9; test_strip:7; gauge_meter:1
R720e,48,7,other,0.8571,2,other:6; gauge_meter:1
R720e,55,21,other,0.4286,4,other:9; connector_fitting:5; 3d_filament:4; ventilation_fan:3
R720e,157,13,other,0.3846,3,other:5; metadata_placeholder:4; gauge_meter:4
R720e,189,13,other,0.6923,4,other:9; gauge_meter:2; fastener:1; connector_fitting:1
R720e,43,15,gauge_meter,0.8,4,gauge_meter:12; other:1; test_strip:1; ventilation_fan:1
R720e,100,14,other,0.8571,3,other:12; fastener:1; connector_fitting:1
R720e,195,18,other,1.0,1,other:18
R720e,112,11,connector_fitting,0.4545,4,connector_fitting:5; other:4; gauge_meter:1; fastener:1
R720e,210,14,other,1.0,1,other:14
R720e,227,15,other,0.6,3,other:9; connector_fitting:5; tape:1
R720e,170,20,other,0.95,2,other:19; connector_fitting:1
R720e,250,22,other,0.5,4,other:11; gauge_meter:5; tape:3; 3d_filament:3
R720e,194,13,other,1.0,1,other:13
R720e,33,11,other,1.0,1,other:11
R720e,119,9,other,0.7778,2,other:7; gauge_meter:2
R720e,1,14,other,1.0,1,other:14
R720e,87,15,other,0.8,4,other:12; connector_fitting:1; gauge_meter:1; ventilation_fan:1
R720e,217,13,other,0.9231,2,other:12; 3d_filament:1
R720e,108,15,other,0.7333,2,other:11; 3d_filament:4
R720e,54,11,other,0.9091,2,other:10; metadata_placeholder:1
R720e,113,11,other,0.5455,5,other:6; connector_fitting:2; ventilation_fan:1; fastener:1; tape:1
R720e,205,11,other,0.9091,2,other:10; connector_fitting:1
R720e,246,20,other,1.0,1,other:20
R720e,165,58,3d_filament,0.9655,2,3d_filament:56; other:2
R720e,123,27,3d_filament,0.6667,2,3d_filament:18; other:9
R720e,253,8,other,0.75,3,other:6; ventilation_fan:1; tape:1
R720e,132,15,other,0.6667,3,other:10; connector_fitting:3; 3d_filament:2
R720e,202,15,other,0.8667,2,other:13; gauge_meter:2
R720e,59,8,other,1.0,1,other:8
R720e,117,11,other,0.9091,2,other:10; 3d_filament:1
R720e,118,25,other,0.96,2,other:24; ventilation_fan:1
R720e,25,23,other,0.9565,2,other:22; gauge_meter:1
R720e,244,14,3d_filament,0.5714,3,3d_filament:8; tape:4; other:2
