l1_bucket_bin,n,hr10,top10_has_l1,top10_has_l2,top1_same_family,top1_history_repeat,l1_route_miss,l2_route_miss,leaf_miss
<=10,0,,,,,,0,0,0
11-30,57,0.017543859649122806,0.03508771929824561,0.017543859649122806,0.2631578947368421,0.43859649122807015,55,1,0
31-60,716,0.03910614525139665,0.12430167597765363,0.04748603351955307,0.33798882681564246,0.4664804469273743,627,55,6
61-120,2566,0.16757599376461418,0.41582229150428685,0.2092751363990647,0.4302416212003118,0.4734996102883866,1499,530,107
>120,1194,0.1884422110552764,0.6649916247906198,0.32160804020100503,0.6323283082077052,0.31239530988274705,400,410,159
