size_bin,count,l1_missing_rate,hit10,mean_purity
<=10,120,0.9666666666666667,0.016666666666666666,0.7549007936507937
11-20,2080,0.7927884615384615,0.14423076923076922,0.7599729532002654
21-50,1557,0.7084136159280667,0.11881824020552344,0.8112057232136908
51-100,776,0.3427835051546392,0.22551546391752578,0.8996230223713496
