orig_failure_type_at10,n,orig_l1_in_history,sem_l1_in_history,delta_l1_in_history,orig_l2_in_history,sem_l2_in_history,delta_l2_in_history,orig_l1_purity,sem_l1_purity,delta_l1_purity,orig_l2_purity,sem_l2_purity,delta_l2_purity
l1_routing_miss,2581,0.09879891514916699,0.08833785354513754,-0.010461061604029445,0.010073614877954282,0.008523827973653622,-0.0015497869043006587,0.6759116408175977,0.7098294874550325,0.03391784663743482,0.9389679157211122,0.9587286212431504,0.01976070552203834
l2_routing_miss_after_l1_hit,996,0.7208835341365462,0.40562248995983935,-0.3152610441767068,0.05120481927710843,0.055220883534136546,0.004016064257028112,0.7772854011880899,0.7626416399727178,-0.01464376121537192,0.944578313253012,0.9713664180531649,0.026788104800152993
hit10,684,0.8728070175438597,0.7587719298245614,-0.11403508771929824,0.7280701754385965,0.6111111111111112,-0.11695906432748537,0.774763208416912,0.8301901654854903,0.055426957068578114,0.9741959064327486,0.9854497354497355,0.011253829016986912
leaf_or_ranking_miss_after_l2_hit,272,0.9264705882352942,0.8235294117647058,-0.10294117647058823,0.7573529411764706,0.5845588235294118,-0.17279411764705882,0.8070107945784128,0.8144398388422732,0.0074290442638602705,0.9802608543417368,0.9906512605042019,0.010390406162464987
