family,count,orig_same_l1_pair_rate,r720b_same_l1_pair_rate,r720c_same_l1_pair_rate,orig_same_l12_pair_rate,r720b_same_l12_pair_rate,r720c_same_l12_pair_rate
3d_filament,386,0.3939169638651504,0.13729897045959222,0.08640064598613821,0.026593096023147838,0.012838974497005586,0.010874099993270978
gauge_meter,338,0.06631784102681158,0.027619265007989044,0.02182501360771162,0.004319351043843169,0.0033712008147068636,0.0035994592032026406
connector_fitting,274,0.2283628779979145,0.05213764337851929,0.05424988636667469,0.00673778775968557,0.002914360578594155,0.0033421566268281595
adhesive_epoxy,125,0.25329032258064516,0.08064516129032258,0.04774193548387097,0.007225806451612903,0.0064516129032258064,0.004903225806451613
tape,217,0.30141662399726915,0.060974569039085165,0.055683563748079874,0.008107185526540365,0.004650964328383684,0.00439494794333504
