subset,count,mean_target_l1_size,median_target_l1_size,mean_target_l1_purity,target_family_is_l1_top_rate,mean_pred1_l1_size,mean_pred1_l1_purity,top10_same_family_bucket_rate,top10_same_top_family_rate,mean_top10_unique_l1
all,4533,29.016324729759543,21.0,0.8013427342374878,0.7793955437899845,31.7313037723362,0.808783710518089,0.9071255239355835,0.7615265828369733,5.726671078755791
l1_missing_top10,3134,24.484365028717296,19.0,0.7938271230064643,0.7814294830887045,28.655711550733887,0.8040457665420258,0.8656668793873644,0.6908104658583281,6.012125079770262
l1_present_top10,1399,39.168691922802005,27.0,0.8181789927064136,0.7748391708363116,38.621157969978555,0.819397517824009,1.0,0.9199428162973553,5.087205146533238
exact_hit_top10,662,32.833836858006045,22.5,0.7807676522097179,0.6676737160120846,33.929003021148034,0.7881675244504819,1.0,0.9123867069486404,5.016616314199395
exact_miss_top10,3871,28.363471971066907,21.0,0.804861386860165,0.7985016791526738,31.35546370446913,0.8123093925580671,0.8912425729785585,0.7357272022733143,5.848101265822785
