c_l1,size,distinct_b_l1_sources,top_b_sources,top_family,top_family_count,purity
55,6,2,17:3; 171:3,other,5,0.8333333333333334
88,23,1,32:23,other,21,0.9130434782608695
156,19,1,185:19,gauge_meter,10,0.5263157894736842
63,18,1,43:18,other,18,1.0
41,17,1,177:17,other,15,0.8823529411764706
74,16,1,2:16,other,14,0.875
231,12,1,78:12,other,12,1.0
235,10,1,175:10,fastener,8,0.8
195,9,1,48:9,adhesive_epoxy,9,1.0
102,7,1,128:7,other,7,1.0
193,6,1,194:6,other,6,1.0
