l2_bucket_bin,n,hr10,top10_has_l1,top10_has_l2,top1_same_family,top1_history_repeat,l1_route_miss,l2_route_miss,leaf_miss
1,1551,0.041908446163765316,0.24049000644745325,0.041908446163765316,0.3533204384268214,0.4480980012894907,1178,308,0
2,1110,0.21981981981981982,0.4243243243243243,0.22972972972972974,0.43963963963963965,0.5144144144144144,639,216,11
3-5,889,0.1372328458942632,0.43082114735658045,0.19122609673790777,0.41732283464566927,0.42744656917885265,506,213,48
6-10,388,0.16494845360824742,0.6005154639175257,0.2963917525773196,0.5077319587628866,0.41237113402061853,155,118,51
>10,595,0.3176470588235294,0.826890756302521,0.5899159663865546,0.8605042016806723,0.23697478991596638,103,141,162
