target_l1,test_count,l1_missing_rate,hit10,bucket_size,bucket_purity,bucket_top_family,test_families,top_pred1_l1_when_missing
<a_126>,26,0.8846153846153846,0.038461538461538464,14,0.9285714285714286,other,other:25; gauge_meter:1,<a_160>:4; <a_222>:2; <a_20>:2; <a_74>:2; <a_225>:1
<a_13>,16,0.875,0.125,18,0.7222222222222222,other,other:8; ventilation_fan:5; tape:3,<a_142>:2; <a_222>:1; <a_172>:1; <a_34>:1; <a_74>:1
<a_32>,16,0.875,0.0625,13,0.8461538461538461,other,other:14; gauge_meter:2,<a_160>:2; <a_67>:1; <a_183>:1; <a_83>:1; <a_122>:1
<a_5>,16,0.875,0.0625,21,0.9047619047619048,other,other:14; gauge_meter:2,<a_191>:1; <a_0>:1; <a_170>:1; <a_172>:1; <a_187>:1
<a_8>,16,0.875,0.0625,12,0.4166666666666667,other,gauge_meter:14; other:2,<a_218>:1; <a_126>:1; <a_160>:1; <a_225>:1; <a_170>:1
<a_117>,8,0.875,0.125,11,0.9090909090909091,other,other:7; 3d_filament:1,<a_81>:1; <a_51>:1; <a_165>:1; <a_178>:1; <a_123>:1
<a_218>,8,0.875,0.0,16,0.75,other,other:7; gauge_meter:1,<a_160>:2; <a_83>:1; <a_52>:1; <a_187>:1; <a_107>:1
<a_230>,8,0.875,0.125,20,0.9,other,other:8,<a_160>:3; <a_171>:1; <a_186>:1; <a_93>:1; <a_81>:1
<a_29>,8,0.875,0.0,11,0.9090909090909091,other,other:7; gauge_meter:1,<a_165>:2; <a_31>:1; <a_38>:1; <a_222>:1; <a_128>:1
<a_59>,8,0.875,0.125,8,1.0,other,other:8,<a_217>:1; <a_101>:1; <a_73>:1; <a_222>:1; <a_83>:1
<a_18>,23,0.8695652173913043,0.0,18,0.7777777777777778,other,other:17; ventilation_fan:6,<a_175>:2; <a_25>:2; <a_31>:2; <a_21>:1; <a_74>:1
<a_215>,23,0.8695652173913043,0.0,17,0.8823529411764706,other,other:22; fastener:1,<a_160>:4; <a_170>:2; <a_236>:1; <a_111>:1; <a_52>:1
<a_24>,15,0.8666666666666667,0.06666666666666667,20,0.55,fastener,other:10; fastener:5,<a_160>:3; <a_208>:1; <a_88>:1; <a_199>:1; <a_252>:1
<a_103>,37,0.8648648648648649,0.0,34,0.9705882352941176,connector_fitting,connector_fitting:37,<a_160>:3; <a_191>:2; <a_122>:2; <a_251>:2; <a_170>:2
<a_187>,29,0.8620689655172413,0.10344827586206896,36,0.75,other,other:16; fastener:11; gauge_meter:2,<a_236>:3; <a_52>:2; <a_239>:2; <a_88>:1; <a_31>:1
<a_76>,21,0.8571428571428572,0.047619047619047616,16,0.6875,other,other:17; adhesive_epoxy:2; 3d_filament:2,<a_160>:3; <a_122>:2; <a_103>:1; <a_229>:1; <a_81>:1
<a_148>,14,0.8571428571428572,0.0,13,0.6153846153846154,other,other:9; tape:5,<a_122>:2; <a_160>:2; <a_135>:1; <a_81>:1; <a_31>:1
<a_242>,14,0.8571428571428572,0.0,21,0.9523809523809523,connector_fitting,connector_fitting:14,<a_160>:2; <a_255>:1; <a_165>:1; <a_82>:1; <a_105>:1
<a_217>,7,0.8571428571428572,0.0,13,0.9230769230769231,other,other:7,<a_163>:1; <a_238>:1; <a_160>:1; <a_225>:1; <a_140>:1
<a_89>,27,0.8518518518518519,0.07407407407407407,16,1.0,adhesive_epoxy,adhesive_epoxy:27,<a_81>:2; <a_44>:1; <a_236>:1; <a_122>:1; <a_69>:1
<a_44>,20,0.85,0.0,26,0.8461538461538461,other,other:17; fastener:2; gauge_meter:1,<a_146>:2; <a_249>:2; <a_123>:2; <a_160>:1; <a_25>:1
<a_101>,26,0.8461538461538461,0.038461538461538464,14,0.5,gauge_meter,gauge_meter:21; other:5,<a_251>:4; <a_236>:2; <a_142>:1; <a_88>:1; <a_122>:1
<a_158>,13,0.8461538461538461,0.07692307692307693,25,0.8,other,other:11; gauge_meter:2,<a_160>:3; <a_31>:1; <a_105>:1; <a_236>:1; <a_229>:1
<a_128>,18,0.8333333333333334,0.05555555555555555,18,1.0,other,other:18,<a_160>:1; <a_83>:1; <a_185>:1; <a_225>:1; <a_15>:1
<a_241>,18,0.8333333333333334,0.05555555555555555,13,0.8461538461538461,other,other:14; fastener:4,<a_122>:3; <a_30>:2; <a_160>:1; <a_161>:1; <a_83>:1
<a_6>,18,0.8333333333333334,0.0,12,0.8333333333333334,other,other:16; fastener:2,<a_107>:3; <a_81>:3; <a_160>:3; <a_209>:1; <a_236>:1
<a_157>,12,0.8333333333333334,0.0,13,0.38461538461538464,other,metadata_placeholder:5; other:5; gauge_meter:2,<a_79>:1; <a_207>:1; <a_185>:1; <a_170>:1; <a_120>:1
