base,subset,count,r720e_l2_given_top1_l1,r720e_exact_given_top1_l1,r720e_top10_exact,r720b_l2_given_top1_l1,r720b_exact_given_top1_l1,r720b_top10_exact,orig_align_l2_given_top1_l1,orig_align_exact_given_top1_l1,orig_align_top10_exact,orig_strong_l2_given_top1_l1,orig_strong_exact_given_top1_l1,orig_strong_top10_exact
r720b,both_l1_correct,563,0.7175843694493783,0.4547069271758437,0.7051509769094139,0.7566607460035524,0.4937833037300178,0.6891651865008881,,,,,,
r720b,both_l1_top10_contains,1103,0.4188576609247507,0.25294650951949227,0.5512239347234814,0.4342701722574796,0.27923844061650044,0.5067996373526745,,,,,,
orig_align,both_l1_correct,634,0.6782334384858044,0.4116719242902208,0.6735015772870663,,,,0.7570977917981072,0.4085173501577287,0.668769716088328,,,
orig_align,both_l1_top10_contains,1184,0.3952702702702703,0.23817567567567569,0.5118243243243243,,,,0.4704391891891892,0.2491554054054054,0.48817567567567566,,,
orig_strong,both_l1_correct,644,0.6599378881987578,0.39751552795031053,0.656832298136646,,,,,,,0.7686335403726708,0.4192546583850932,0.6785714285714286
orig_strong,both_l1_top10_contains,1212,0.38696369636963696,0.2334983498349835,0.5041254125412541,,,,,,,0.4752475247524752,0.24504950495049505,0.5132013201320133
