subset,variant,n,l2_hit_given_common_l1_subset,l3_hit_given_common_l1_subset_and_own_l1ok,l3_hit_given_own_l12ok_within_common_l1_subset
both_r720b_orig_align_l1_ok,r720b,659,0.6874051593323217,0.44461305007587254,0.6467991169977925
both_r720b_orig_align_l1_ok,orig_align,659,0.8224582701062215,0.41274658573596357,0.5018450184501845
both_r720b_orig_align_l1_ok,orig_best,659,0.7602427921092565,0.40819423368740515,0.5369261477045908
both_r720b_orig_best_l1_ok,r720b,671,0.6602086438152012,0.4172876304023845,0.6320541760722348
both_r720b_orig_best_l1_ok,orig_align,671,0.7630402384500745,0.38002980625931443,0.498046875
both_r720b_orig_best_l1_ok,orig_best,671,0.7719821162444114,0.4113263785394933,0.5328185328185329
all_three_l1_ok,r720b,613,0.6982055464926591,0.44861337683523655,0.6425233644859814
all_three_l1_ok,orig_align,613,0.835236541598695,0.4159869494290375,0.498046875
all_three_l1_ok,orig_best,613,0.8172920065252854,0.43882544861337686,0.5369261477045908
