purity_bin,count,l1_missing_rate,hit10,mean_size
0.5-0.75,1300,0.6838461538461538,0.22,18.054615384615385
0.75-0.9,1256,0.713375796178344,0.10191082802547771,33.08359872611465
<0.5,205,0.8048780487804879,0.1024390243902439,23.10731707317073
>=0.9,1772,0.6681715575620768,0.1281038374717833,34.85891647855531
