variant,hit1,hit3,hit5,hit10,top1_l1,top1_l12,top1_exact,top10_l1,top10_l12,top10_exact,top1_l2_given_l1,top1_l3_given_l12
r720e,0.06397529230090448,0.09883079638208692,0.11802338407235827,0.1460401500110302,0.1696448268255019,0.10500772115596735,0.06397529230090448,0.3086256342378116,0.19964703287006397,0.1460401500110302,0.6189856957087125,0.6092436974789917
r720b,0.06926979924994485,0.0944187072578866,0.1100816236487977,0.13942201632472975,0.17780719170527245,0.10787557908669755,0.06926979924994485,0.33906904919479375,0.19655857048312375,0.13942201632472975,0.6066997518610422,0.6421267893660532
orig_align,0.06860798588131481,0.0957423339951467,0.11118464592984778,0.14626075446724024,0.26362232517096845,0.1301566291639091,0.06860798588131481,0.4409883079638209,0.20869181557467462,0.14626075446724024,0.4937238493723849,0.5271186440677967
orig_strong,0.0670637546878447,0.09838958746966689,0.11824398852856828,0.15089344804765056,0.2671519964703287,0.13192146481358924,0.0670637546878447,0.43061989852195015,0.21089786013677475,0.15089344804765056,0.49380677126341865,0.5083612040133779
v2,0.07059342598720494,0.09508052062651666,0.11471431722920802,0.14626075446724024,0.1526582836973307,0.10103684094418708,0.07059342598720494,0.31215530553717186,0.2029560997132142,0.14626075446724024,0.661849710982659,0.6986899563318777
