family,count,r720e_hit10,r720e_hit50,r720e_l1_top10,r720e_l12_top10,r720e_L1_missing_top10_rate,r720e_L1_present_L2_missing_top10_rate,r720e_L12_present_leaf_missing_top10_rate,r720b_hit10,r720b_hit50,r720b_l1_top10,r720b_l12_top10,r720b_L1_missing_top10_rate,r720b_L1_present_L2_missing_top10_rate,r720b_L12_present_leaf_missing_top10_rate,orig_align_hit10,orig_align_hit50,orig_align_l1_top10,orig_align_l12_top10,orig_align_L1_missing_top10_rate,orig_align_L1_present_L2_missing_top10_rate,orig_align_L12_present_leaf_missing_top10_rate,v2_hit10,v2_hit50,v2_l1_top10,v2_l12_top10,v2_L1_missing_top10_rate,v2_L1_present_L2_missing_top10_rate,v2_L12_present_leaf_missing_top10_rate,delta_hit10_e_b,delta_hit10_e_orig
other,1873,0.07421249332621463,0.13507741591030434,0.16657768286171917,0.08382274426054458,0.8334223171382809,0.08275493860117458,0.009610250934329953,0.07421249332621463,0.12279765082754938,0.15376401494927924,0.0806193272824346,0.8462359850507207,0.07314468766684463,0.006406833956219968,0.07261078483715963,0.13187399893219434,0.2824345969033636,0.08595835557928456,0.7175654030966364,0.196476241324079,0.013347570742124934,0.07314468766684463,0.12813667912439936,0.15589962626801923,0.08168713294180459,0.8441003737319808,0.07421249332621463,0.008542445274959957,0.0,0.0016017084890549982
3d_filament,1101,0.18982742960944596,0.40417801998183467,0.5540417801998183,0.35967302452316074,0.44595821980018163,0.1943687556766576,0.16984559491371481,0.16530426884650318,0.35149863760217986,0.6739327883742052,0.3578564940962761,0.3260672116257947,0.31607629427792916,0.19255222524977295,0.2016348773841962,0.3851044504995459,0.7384196185286104,0.39691189827429607,0.2615803814713896,0.34150772025431425,0.1952770208900999,0.19346049046321526,0.407811080835604,0.5767484105358764,0.3869209809264305,0.4232515894641235,0.18982742960944596,0.19346049046321526,0.02452316076294278,-0.011807447774750235
gauge_meter,513,0.442495126705653,0.5321637426900585,0.49707602339181284,0.4580896686159844,0.5029239766081871,0.03898635477582846,0.015594541910331383,0.46393762183235865,0.5536062378167641,0.543859649122807,0.4873294346978557,0.45614035087719296,0.056530214424951264,0.023391812865497075,0.43859649122807015,0.5107212475633528,0.5730994152046783,0.44834307992202727,0.4269005847953216,0.12475633528265107,0.009746588693957114,0.4171539961013645,0.49902534113060426,0.48927875243664715,0.4249512670565302,0.5107212475633528,0.06432748538011696,0.007797270955165692,-0.021442495126705652,0.003898635477582846
tape,301,0.09966777408637874,0.17275747508305647,0.24584717607973422,0.132890365448505,0.7541528239202658,0.11295681063122924,0.03322259136212625,0.08637873754152824,0.2059800664451827,0.19933554817275748,0.11627906976744186,0.8006644518272426,0.08305647840531562,0.029900332225913623,0.0664451827242525,0.14950166112956811,0.3122923588039867,0.10299003322259136,0.6877076411960132,0.20930232558139536,0.036544850498338874,0.09302325581395349,0.19269102990033224,0.16279069767441862,0.11627906976744186,0.8372093023255814,0.046511627906976744,0.023255813953488372,0.013289036544850502,0.03322259136212624
connector_fitting,273,0.09523809523809523,0.19413919413919414,0.21978021978021978,0.11721611721611722,0.7802197802197802,0.10256410256410256,0.02197802197802198,0.08058608058608059,0.18315018315018314,0.2490842490842491,0.08424908424908426,0.7509157509157509,0.16483516483516483,0.003663003663003663,0.10989010989010989,0.1978021978021978,0.4175824175824176,0.14285714285714285,0.5824175824175825,0.27472527472527475,0.03296703296703297,0.11721611721611722,0.20146520146520147,0.2893772893772894,0.14285714285714285,0.7106227106227107,0.14652014652014653,0.02564102564102564,0.014652014652014642,-0.014652014652014655
adhesive_epoxy,224,0.049107142857142856,0.12053571428571429,0.1875,0.08928571428571429,0.8125,0.09821428571428571,0.04017857142857143,0.049107142857142856,0.19642857142857142,0.21428571428571427,0.09821428571428571,0.7857142857142857,0.11607142857142858,0.049107142857142856,0.07142857142857142,0.15625,0.3482142857142857,0.11607142857142858,0.6517857142857143,0.23214285714285715,0.044642857142857144,0.0625,0.12053571428571429,0.20535714285714285,0.09821428571428571,0.7946428571428571,0.10714285714285714,0.03571428571428571,0.0,-0.02232142857142857
fastener,142,0.04929577464788732,0.07746478873239436,0.14084507042253522,0.07746478873239436,0.8591549295774648,0.06338028169014084,0.028169014084507043,0.028169014084507043,0.07042253521126761,0.1619718309859155,0.035211267605633804,0.8380281690140845,0.1267605633802817,0.007042253521126761,0.028169014084507043,0.08450704225352113,0.30985915492957744,0.07042253521126761,0.6901408450704225,0.23943661971830985,0.04225352112676056,0.035211267605633804,0.1056338028169014,0.2323943661971831,0.04929577464788732,0.7676056338028169,0.18309859154929578,0.014084507042253521,0.021126760563380278,0.021126760563380278
ventilation_fan,64,0.140625,0.21875,0.28125,0.15625,0.71875,0.125,0.015625,0.09375,0.171875,0.28125,0.109375,0.71875,0.171875,0.015625,0.140625,0.234375,0.328125,0.15625,0.671875,0.171875,0.015625,0.171875,0.21875,0.25,0.171875,0.75,0.078125,0.0,0.046875,0.0
metadata_placeholder,30,0.06666666666666667,0.13333333333333333,0.16666666666666666,0.06666666666666667,0.8333333333333334,0.1,0.0,0.13333333333333333,0.3333333333333333,0.3333333333333333,0.13333333333333333,0.6666666666666666,0.2,0.0,0.0,0.06666666666666667,0.1,0.0,0.9,0.1,0.0,0.16666666666666666,0.16666666666666666,0.26666666666666666,0.16666666666666666,0.7333333333333333,0.1,0.0,-0.06666666666666667,0.06666666666666667
