family,count,rank1,rank2_3,rank4_5,rank6_10,rank11_20,rank21_50,missing_top50
other,1873,0.04217832354511479,0.011211959423384944,0.008542445274959957,0.012279765082754938,0.02189001601708489,0.03897490656700481,0.8649225840896957
3d_filament,1101,0.02452316076294278,0.07084468664850137,0.03905540417801998,0.055404178019981834,0.09809264305177112,0.11625794732061762,0.5958219800181653
gauge_meter,513,0.3138401559454191,0.056530214424951264,0.03313840155945419,0.03898635477582846,0.042884990253411304,0.04678362573099415,0.4678362573099415
tape,301,0.023255813953488372,0.036544850498338874,0.013289036544850499,0.026578073089700997,0.03322259136212625,0.03986710963455149,0.8272425249169435
connector_fitting,273,0.03663003663003663,0.029304029304029304,0.007326007326007326,0.02197802197802198,0.040293040293040296,0.05860805860805861,0.8058608058608059
adhesive_epoxy,224,0.004464285714285714,0.013392857142857142,0.017857142857142856,0.013392857142857142,0.022321428571428572,0.049107142857142856,0.8794642857142857
fastener,142,0.007042253521126761,0.02112676056338028,0.0,0.02112676056338028,0.028169014084507043,0.0,0.9225352112676056
ventilation_fan,64,0.046875,0.046875,0.015625,0.03125,0.046875,0.03125,0.78125
metadata_placeholder,30,0.0,0.06666666666666667,0.0,0.0,0.0,0.06666666666666667,0.8666666666666667
