failure_type_at10,n,rate,top1_history_repeat,top10_history_repeat_mean,top10_has_l1,top10_has_l2,target_l1_in_history,target_l2_in_history
hit_at_10,642,0.14162806088682992,0.5155763239875389,1.6261682242990654,1.0,1.0,0.838006230529595,0.6635514018691588
l1_routing_miss,2786,0.6146040150011031,0.39985642498205315,1.4278535534816943,0.0,0.0,0.07501794687724336,0.014716439339554917
l2_routing_miss_after_l1_hit,833,0.18376351202294286,0.34813925570228094,1.3373349339735894,1.0,0.0,0.6698679471788715,0.07202881152460984
leaf_or_ranking_miss_after_l2_hit,272,0.0600044120891242,0.30514705882352944,1.3676470588235294,1.0,1.0,0.9448529411764706,0.7647058823529411
