variant,n,NDCG@1,NDCG@3,NDCG@5,NDCG@10,HR@1,HR@3,HR@5,HR@10,HR@50,top10_has_l1,top10_has_l2,top1_same_family,top1_history_repeat,target_l1_in_history,target_l2_in_history
original,4533,0.0670637546878447,0.08500848235873497,0.09315326345103023,0.10372024845275758,0.0670637546878447,0.09838958746966689,0.11824398852856828,0.15089344804765056,0.24531215530553718,0.43061989852195015,0.21089786013677475,0.5157732186190161,0.42951687624090007,0.40194131921464815,0.17229208030002205
r693a,4533,0.06309287447606442,0.07971920792994287,0.08678188529582123,0.09730760426080434,0.06309287447606442,0.0915508493271564,0.10875799691153762,0.14162806088682992,0.24310611074343702,0.385395984998897,0.2016324729759541,0.5069490403706155,0.4010589013898081,0.3445841606000441,0.16214427531436135
