variant,n,ndcg@1,ndcg@3,ndcg@5,ndcg@10,ndcg@50,hr@1,hr@3,hr@5,hr@10,hr@20,hr@50,top1_same_l1,top10_has_target_l1,top10_has_target_l2,top1_same_family,top1_history_repeat,top10_history_repeat_mean,top50_history_repeat_mean,invalid_pred_total,output_mismatch_total
original_sft_strong,4533,0.0670637546878447,0.08500848235873497,0.09315326345103023,0.10372024845275758,0.12461897786685167,0.0670637546878447,0.09838958746966689,0.11824398852856828,0.15089344804765056,0.1897198323406133,0.24531215530553718,0.2671519964703287,0.43061989852195015,0.21089786013677475,0.5157732186190161,0.42951687624090007,1.6099713214206928,2.7522611956761525,0,0
v2_on_p05,4533,0.07059342598720494,0.08451222715798477,0.09253299593821515,0.10270767084615354,0.12475456279016907,0.07059342598720494,0.09508052062651666,0.11471431722920802,0.14626075446724024,0.18243988528568278,0.24818001323626737,0.1526582836973307,0.31215530553717186,0.2029560997132142,0.49768365320979485,0.3814251047871167,1.3461283917935143,2.416942422236929,0,0
r650a,4533,0.06529891903816457,0.08132392758343625,0.08777954706237862,0.09517630430092351,0.11653932339186505,0.06529891903816457,0.09353628943304655,0.10919920582395765,0.13236267372600927,0.17074784910655194,0.2298698433708361,0.15177586587249062,0.28038826384292964,0.17957202735495256,0.5014339289653651,0.2788440326494595,1.097727774101037,2.1506728435914404,0,0
r680a,4533,0.06882859033752482,0.08496913363114988,0.09038132024256695,0.09863898569286653,0.11989554358128458,0.06882859033752482,0.0970659607324068,0.1100816236487977,0.1356717405691595,0.17207147584381205,0.23362011912640634,0.15464372380322083,0.32583278182219283,0.18089565409221267,0.5197440988307964,0.4312817118905802,1.4864328259430841,2.599382307522612,0,0
r693a,4533,0.06309287447606442,0.07971920792994287,0.08678188529582123,0.09730760426080434,0.11924143693784052,0.06309287447606442,0.0915508493271564,0.10875799691153762,0.14162806088682992,0.17736598279285243,0.24310611074343702,0.22810500772115597,0.385395984998897,0.2016324729759541,0.5069490403706155,0.4010589013898081,1.4356938010147804,2.539377895433488,0,0
