variant,active_l1,unique_l2_pairs,unique_sid,collision_count,max_conflict,l1_mean_bucket_size,l1_median_bucket_size,l1_max_bucket_size,weighted_top_family_purity,focus_weighted_top_family_purity
original,48,2295,3670,16,3,76.79166666666667,67.5,247,0.7476939772110689,0.8056755089450957
v2,203,2680,3673,13,2,18.157635467980295,16.0,97,0.7967986977753663,0.8408389882788402
R650a,199,2782,3675,11,2,18.522613065326635,17.0,74,0.778893109061313,0.8340530536705737
R680a,226,2833,3675,11,2,16.309734513274336,15.0,117,0.8060227889310906,0.8926588525601481
R690a,118,2527,3675,11,2,31.23728813559322,20.5,214,0.7821486706456864,0.8081431215299199
R690b,33,1989,3672,14,2,111.6969696969697,106.0,233,0.7156809549647314,0.7791486736582357
R693a,90,2274,3674,12,2,40.955555555555556,33.0,212,0.7778079218665219,0.8278840222085133
