pair_set,tokenizer,pair_count,same_l1_pct,same_l12_pct,same_sid_pct,same_l2_token_pct,same_l3_token_pct,avg_token_overlap,avg_lcp,split_after_l1_pct
S-near C-far,L2=0.003,5677.0,89.71287651928836,31.65404262814867,0.035229874933943986,31.724502378016556,0.8807468733485997,1.223181257706535,1.2140214902237096,58.058833891139685
S-near C-far,"Main L2=0.010,L3=0.020",5677.0,91.13968645411309,29.716399506781748,0.07045974986788797,30.878985379601904,0.9688215606834596,1.2298749339439845,1.2092654571076273,61.423286947331334
S-near C-far,L3=0.010,5677.0,95.42011625858729,29.557865069579,0.05284481240091598,29.69878456931478,0.5812929364100757,1.2570019376431214,1.250308261405672,65.86225118900828
S-near C-near,L2=0.003,3853.0,89.54061770049312,34.8040487931482,0.25953802232026996,34.95977160654036,1.0641058915131067,1.2556449519854658,1.246042045159616,54.73656890734493
S-near C-near,"Main L2=0.010,L3=0.020",3853.0,89.46275629379704,34.259018946275624,0.28549182455229694,35.32312483778874,0.9602906825849987,1.2574617181417078,1.2400726706462497,55.20373734752141
S-near C-near,L3=0.010,3853.0,90.86426161432651,33.99948092395536,0.25953802232026996,34.129249935115496,0.9602906825849987,1.25953802232027,1.2512328056060213,56.86478069037114
S-far C-near,L2=0.003,10000.0,0.54,0.0,0.0,0.27999999999999997,0.7799999999999999,0.016,0.0054,0.54
S-far C-near,"Main L2=0.010,L3=0.020",10000.0,0.54,0.0,0.0,0.35000000000000003,0.7000000000000001,0.0159,0.0054,0.54
S-far C-near,L3=0.010,10000.0,0.73,0.0,0.0,0.29,0.75,0.0177,0.0073,0.73
S-far C-far,L2=0.003,10000.0,0.2,0.0,0.0,0.33,0.64,0.0117,0.002,0.2
S-far C-far,"Main L2=0.010,L3=0.020",10000.0,0.09,0.0,0.0,0.29,0.41000000000000003,0.0079,0.0009,0.09
S-far C-far,L3=0.010,10000.0,0.13999999999999999,0.0,0.0,0.35000000000000003,0.52,0.0101,0.0014,0.13999999999999999
