variant,target,seed_list,accuracy_mean,accuracy_std,hard_accuracy_mean,hard_accuracy_std,stable_accuracy_mean,stable_accuracy_std,n_train,n_valid
current_v2,a,"[42, 43, 44]",0.09076198882024124,0.0012263409826811593,0.2274747474747475,0.013725485051687294,0.05911723586978231,0.001474418120654422,36259,4532
current_v2,b_given_a,"[42, 43, 44]",0.24242424242424243,0.0030272308954481715,0.41373737373737374,0.003746916563836646,0.1933293389255043,0.0020803541697623014,36259,4532
current_v2,c_given_ab,"[42, 43, 44]",0.436525448661371,0.002612874326027013,0.21494949494949492,0.005965585074841782,0.499900139804274,0.0026832492196014255,36259,4532
r202a,a,"[42, 43, 44]",0.09782288908502501,0.001976320806493734,0.21558211598052235,0.006535999583989991,0.06750801282051282,0.00014164799302615085,36259,4532
r202a,b_given_a,"[42, 43, 44]",0.21175345689908798,0.00115828300588582,0.3576803895528995,0.006260352201740122,0.17938701923076925,0.0012267076035572763,36259,4532
r202a,c_given_ab,"[42, 43, 44]",0.41593115622241833,0.0003603250577792444,0.18636564851704293,0.004105187470338953,0.47616185897435903,0.00214352309285183,36259,4532
r401d_g005_a005,a,"[42, 43, 44]",0.07994998528979112,0.0013641686518822754,0.20905035054174634,0.007039745708851032,0.06172839506172839,0.002441419696160053,36259,4532
r401d_g005_a005,b_given_a,"[42, 43, 44]",0.24551338629008534,0.0009922578378370151,0.407265774378585,0.0056289106859960724,0.2110480309993692,0.0017977775383671301,36259,4532
r401d_g005_a005,c_given_ab,"[42, 43, 44]",0.4829361576934392,0.004176248769219888,0.22115997450605482,0.005482680221187139,0.5280706497251509,0.004862841331254216,36259,4532
