baseline,variant,n_items,changed_l1_rate,changed_l2_rate,changed_full_sid_rate,l1_pair_retention,l2_pair_retention,mean_l1_neighbor_jaccard,mean_l2_neighbor_jaccard,mean_l1_neighbor_recall,mean_l2_neighbor_recall
current_v2,r202a,3686,0.9964731416169289,1.0,1.0,0.4137271771341172,0.6121979286536249,0.2400845399701954,0.5890072388064201,0.3901818353112293,0.7772118225116055
current_v2,r202b_r075,3686,0.9883342376559957,1.0,1.0,0.3796721154765319,0.633294975067127,0.20391761381854445,0.5291704110801314,0.35480804475581884,0.7777116760974602
current_v2,r205,3686,0.9983722192078134,1.0,1.0,0.5136937195296817,0.6965861143076333,0.13778916941525496,0.5362012015748729,0.44403250810642503,0.7956030540268196
current_v2,strongest_original,3686,0.9991861096039066,1.0,1.0,0.6620065003345761,0.7138473341004986,0.13448246513920148,0.5050040783997137,0.5811728006497889,0.808249683487068
