variant,target,accuracy,hard_accuracy_l2_ge_4,stable_accuracy_l2_le_2,n_train,n_valid
current_v2,a,0.09024713150926743,0.22303030303030302,0.059316956261234274,36259,4532
current_v2,b_given_a,0.23918799646954986,0.4084848484848485,0.19143199520671061,36259,4532
current_v2,c_given_ab,0.43645189761694614,0.22181818181818183,0.49730377471539844,36259,4532
r202a,a,0.0997352162400706,0.22310756972111553,0.06760817307692307,36259,4532
r202a,b_given_a,0.21337157987643424,0.3665338645418327,0.17938701923076922,36259,4532
r202a,c_given_ab,0.4159311562224184,0.1806108897742364,0.47836538461538464,36259,4532
