tokenizer,active_l1,active_l2,active_l3,unique_l12,unique_sid,collision_count,collision_rate,max_conflict,max_l1_bucket,top5_l1_cover,l1_entropy_norm,l1_gini,l12_mean_size,l12_median_size,l12_p90_size,l12_max_size,l12_singletons,l12_ge5,avg_l2_per_l1,median_l2_per_l1,avg_l3_per_l12,median_l3_per_l12,top5_l1
L2=0.003,56,256,256,2182,3673,13,0.00352685838307108,2,194,683,0.9712173910115853,0.2668494690334082,1.689275893675527,1.0,3.0,26,1443,87,38.964285714285715,37.5,1.6833180568285977,1.0,"[['<a_236>', 194], ['<a_112>', 127], ['<a_18>', 127], ['<a_76>', 121], ['<a_101>', 114]]"
"Main L2=0.010,L3=0.020",60,256,256,2330,3670,16,0.004340748779164406,2,167,707,0.9629727491840927,0.30538976306746246,1.5819742489270385,1.0,3.0,24,1646,74,38.833333333333336,38.0,1.5751072961373391,1.0,"[['<a_202>', 167], ['<a_222>', 159], ['<a_182>', 134], ['<a_78>', 131], ['<a_51>', 116]]"
L3=0.010,60,256,256,2394,3673,13,0.00352685838307108,2,210,738,0.9596420555409246,0.3119551455959486,1.5396825396825398,1.0,3.0,27,1724,65,39.9,39.0,1.5342522974101922,1.0,"[['<a_184>', 210], ['<a_224>', 150], ['<a_42>', 136], ['<a_71>', 125], ['<a_191>', 117]]"
L3 ranking=0.020,105,256,256,2304,3675,11,0.002984264785675529,2,147,598,0.9458981757687813,0.3873446502855076,1.5998263888888888,1.0,3.0,27,1612,76,21.942857142857143,20.0,1.5950520833333333,1.0,"[['<a_112>', 147], ['<a_178>', 146], ['<a_165>', 116], ['<a_0>', 100], ['<a_58>', 89]]"
L2=0.015,108,256,256,2619,3673,13,0.00352685838307108,2,120,443,0.9615945900275105,0.330278732340588,1.4074074074074074,1.0,2.0,25,2009,42,24.25,25.0,1.4024436807941962,1.0,"[['<a_38>', 120], ['<a_57>', 99], ['<a_13>', 82], ['<a_56>', 72], ['<a_124>', 70]]"
