record_id,recorded_at,run_finished_at,dataset_key,category,split_stem,variant,tokenizer_record_id,tokenizer_variant,tokenizer_family,recipe,title_history2sid_enabled,alignment_enabled,description_task_probability,alignment_mode,base_model,sft_config_path,sft_output_dir,sft_model_path,result_json_path,wandb_run_name,wandb_run_id,runtime_gpus,batch_size,micro_batch_size,world_size,grad_accum_steps,effective_global_batch,num_epochs,learning_rate,final_eval_loss,final_train_loss,stop_epoch,eval_runtime_gpus,eval_batch_size,eval_num_beams,test_example_count,constraint_invalid_total,ndcg_at_1,ndcg_at_3,ndcg_at_5,ndcg_at_10,ndcg_at_20,ndcg_at_50,hr_at_1,hr_at_3,hr_at_5,hr_at_10,hr_at_20,hr_at_50,tokenizer_collision_rate,tokenizer_collision_count,tokenizer_launch_readme,notes
sft_industrial_mgr_upstream_hierarchy_20260410,-,-,industrial,Industrial_and_Scientific,Industrial_and_Scientific_5_2016-10-2018-11,mgr_upstream_hierarchy,tok_industrial_mgr_upstream_hierarchy,mgr_upstream_hierarchy,mgr_v1_upstream,title_history2sid_on+desc_align_off,true,false,0.5,title_only,../Qwen3-1.7B,./config/experiments/sft_industrial_mgr_upstream_hierarchy.yaml,./output/experiments/mgr_sid_sft_eval_industrial_20260410/mgr_upstream_hierarchy/sft,./output/experiments/mgr_sid_sft_eval_industrial_20260410/mgr_upstream_hierarchy/sft/final_checkpoint,./results/experiments/mgr_sid_sft_eval_industrial_20260410/final_result_sft_mgr_upstream_hierarchy_Industrial_and_Scientific.json,sft_mgr_upstream_hierarchy_industrial,giwhyo3h,2,1024,2,2,256,1024,10,0.0003,-,-,-,2,8,50,4533,-,0.06265167,0.08024707,0.08641766,0.09359572,0.10289594,0.11644559,0.06265167,0.09287448,0.10787558,0.13037723,0.16743878,0.23604677,0.0032555616,12,./research-progress-log/experiment_launches/2026-04-09_mgr_sid_v1_upstream/README.md,backfilled from config + evaluate result + training log
sft_industrial_mgr_tokenizer_v2_desc_align_p05_20260411_141710,2026-04-11 18:43:49,2026-04-11 18:43:49,industrial,Industrial_and_Scientific,Industrial_and_Scientific_5_2016-10-2018-11,mgr_tokenizer_v2_desc_align_p05,tok_industrial_mgr_tokenizer_v2_offline,mgr_tokenizer_v2_offline,mgr_v2,title_history2sid_off+desc_align_p05,false,true,0.5,sid_description_alignment,../Qwen3-1.7B,./config/experiments/sft_industrial_mgr_tokenizer_v2_desc_align_p05.yaml,./output/experiments/mgr_sid_v2_sft_desc_align_p05_industrial_20260411/mgr_tokenizer_v2_offline/sft,./output/experiments/mgr_sid_v2_sft_desc_align_p05_industrial_20260411/mgr_tokenizer_v2_offline/sft/final_checkpoint,./results/experiments/mgr_sid_v2_sft_desc_align_p05_industrial_20260411/final_result_sft_mgr_tokenizer_v2_desc_align_p05_Industrial_and_Scientific.json,sft_mgr_tokenizer_v2_desc_align_p05_industrial,d5fhjtu1,"2,3,4,5",1024,2,4,128,1024,10,0.0003,3.1990511417388916,0.3959156274648578,6.5,"2,3,4,5",8,50,4533,0,0.05912199,0.07366054,0.08019183,0.08993428,0.09822171,0.10863019,0.05912199,0.08427090,0.10015442,0.13081844,0.16390911,0.21597176,0.0035268584,13,./research-progress-log/experiment_launches/2026-04-11_mgr_sid_tokenizer_v2_r005/README.md,Industrial v2 tokenizer plugged into strongest original MiniOneRec SFT recipe (title_history2sid_off + desc_align_p05); 4-GPU torchrun SFT and 4-GPU parallel evaluate; underperforms strongest original MiniOneRec SFT and also underperforms recipe-aligned original noalign baseline.
sft_industrial_mgr_tokenizer_v2_title_on_desc_p05_20260411_191025,2026-04-11 19:10:25,2026-04-11 22:42:02 CST,industrial,Industrial_and_Scientific,Industrial_and_Scientific_5_2016-10-2018-11,mgr_tokenizer_v2_title_on_desc_p05,tok_industrial_mgr_tokenizer_v2_offline,mgr_tokenizer_v2_offline,mgr_v2,title_history2sid_on+desc_align_p05,true,true,0.5,title_and_description_mix,../Qwen3-1.7B,./config/experiments/sft_industrial_mgr_tokenizer_v2_title_on_desc_p05.yaml,/data/leejt/OneRec/output_weights/experiments/mgr_sid_v2_recipe_isolation_20260411/title_on_desc_p05/sft,/data/leejt/OneRec/output_weights/experiments/mgr_sid_v2_recipe_isolation_20260411/title_on_desc_p05/sft/final_checkpoint,./results/experiments/mgr_sid_v2_recipe_isolation_industrial_20260411/final_result_sft_mgr_tokenizer_v2_title_on_desc_p05_Industrial_and_Scientific.json,sft_mgr_tokenizer_v2_title_on_desc_p05_industrial,uql89fyw,"2,3,4,5",1024,2,4,128,1024,10,0.0003,1.6112998723983765,0.4524169314230838,5.5,"2,3,4,5",8,50,4533,0,0.07059343,0.08451223,0.09253300,0.10270767,0.11172619,0.12475456,0.07059343,0.09508052,0.11471432,0.14626075,0.18243989,0.24818001,0.0035268584,13,./research-progress-log/experiment_launches/2026-04-11_mgr_sid_tokenizer_v2_r005/README.md,"Industrial v2 recipe isolation run (title_history2sid_on + desc_align_p05); 4-GPU torchrun SFT and 4-GPU parallel evaluate; best current v2 downstream recipe, improves over v2 noalign and nearly matches strongest original MiniOneRec SFT while keeping title_history2sid enabled."
sft_industrial_mgr_tokenizer_v2_title_off_desc_off_20260411_224557,2026-04-11 22:45:57,2026-04-12 01:06:30 CST,industrial,Industrial_and_Scientific,Industrial_and_Scientific_5_2016-10-2018-11,mgr_tokenizer_v2_title_off_desc_off,tok_industrial_mgr_tokenizer_v2_offline,mgr_tokenizer_v2_offline,mgr_v2,title_history2sid_off+desc_align_off,false,false,0.5,title_only,../Qwen3-1.7B,./config/experiments/sft_industrial_mgr_tokenizer_v2_title_off_desc_off.yaml,/data/leejt/OneRec/output_weights/experiments/mgr_sid_v2_recipe_isolation_20260411/title_off_desc_off/sft,/data/leejt/OneRec/output_weights/experiments/mgr_sid_v2_recipe_isolation_20260411/title_off_desc_off/sft/final_checkpoint,./results/experiments/mgr_sid_v2_recipe_isolation_industrial_20260411/final_result_sft_mgr_tokenizer_v2_title_off_desc_off_Industrial_and_Scientific.json,sft_mgr_tokenizer_v2_title_off_desc_off_industrial,szdcgqmm,"2,3,4,5",1024,2,4,128,1024,10,0.0003,1.5452876091003418,0.6033254778067741,6.5,"2,3,4,5",8,50,4533,0,0.05890139,0.07413063,0.08105963,0.09125202,0.10147799,0.11420132,0.05890139,0.08537392,0.10236047,0.13390690,0.17427752,0.23825281,0.0035268584,13,./research-progress-log/experiment_launches/2026-04-11_mgr_sid_tokenizer_v2_r005/README.md,Industrial v2 recipe isolation run (title_history2sid_off + desc_align_off); 4-GPU torchrun SFT and 4-GPU parallel evaluate; confirms that turning title_history2sid off is the main negative factor for current v2 downstream transfer.
sft_industrial_mgr_stage2_r202a_title_on_desc_p05_20260413_064109,2026-04-13 03:07:06,2026-04-13 06:41:09 CST,industrial,Industrial_and_Scientific,Industrial_and_Scientific_5_2016-10-2018-11,mgr_stage2_r202a_title_on_desc_p05,tok_industrial_stage2_r202a_stopgrad,stage2_r202a_stopgrad,stage2_retention,title_history2sid_on+desc_align_p05,true,true,0.5,title_and_description_mix,../Qwen3-1.7B,./config/experiments/sft_industrial_mgr_stage2_r202a_title_on_desc_p05.yaml,/data/leejt/OneRec/output_weights/experiments/mgr_sid_stage2_r202a_sft_eval_20260413/title_on_desc_p05/sft,/data/leejt/OneRec/output_weights/experiments/mgr_sid_stage2_r202a_sft_eval_20260413/title_on_desc_p05/sft/final_checkpoint,./results/experiments/mgr_sid_stage2_r202a_sft_eval_industrial_20260413/final_result_sft_mgr_stage2_r202a_title_on_desc_p05_Industrial_and_Scientific.json,sft_mgr_stage2_r202a_title_on_desc_p05_industrial,v1skvmmn,"2,3,4,5",1024,2,4,128,1024,10,0.0003,1.6118812561035156,0.4657821170926284,5.5,"2,3,4,5",8,50,4533,0,0.06551952,0.0835982,0.0904532,0.09973721,0.10912282,0.12047398,0.06551952,0.09728657,0.1138319,0.14251048,0.18001324,0.23737039,0.0035268584,13,./research-progress-log/experiment_launches/2026-04-13_mgr_sid_stage2_stopgrad_industrial/README.md,Industrial stage-2 R208 run: R202a stop-grad tokenizer -> title_history2sid_on + desc_align_p05 SFT/evaluate; 4-GPU torchrun SFT and 4-GPU parallel evaluate; useful downstream screen for the current Block-2 winner while R205 is still running.
sft_industrial_mgr_stage3_r401b_title_on_desc_p05_20260415_003935,2026-04-14 21:03:14,2026-04-15 00:39:35 CST,industrial,Industrial_and_Scientific,Industrial_and_Scientific_5_2016-10-2018-11,mgr_stage3_r401b_title_on_desc_p05,tok_industrial_stage3_r401b_g005,stage3_r401b_g005,stage3_prefix_retained,title_history2sid_on+desc_align_p05,true,true,0.5,title_and_description_mix,../Qwen3-1.7B,./config/experiments/sft_industrial_mgr_stage3_r401b_title_on_desc_p05.yaml,/data/leejt/OneRec/output_weights/experiments/mgr_sid_stage3_sft_eval_20260414/r401b_title_on_desc_p05/sft,/data/leejt/OneRec/output_weights/experiments/mgr_sid_stage3_sft_eval_20260414/r401b_title_on_desc_p05/sft/final_checkpoint,./results/experiments/mgr_sid_stage3_sft_eval_20260414/final_result_sft_mgr_stage3_r401b_title_on_desc_p05_Industrial_and_Scientific.json,sft_mgr_stage3_r401b_title_on_desc_p05_industrial,5b0ifncg,"2,3,4,5",1024,2,4,128,1024,10,0.0003,1.6143332719802856,0.4703388781401149,5.5,"2,3,4,5",8,50,4533,0,0.06706375,0.08479311,0.09017463,0.09905007,0.10923107,0.12218252,0.06706375,0.09772777,0.11096404,0.13853960,0.17935142,0.24442974,0.0029842648,11,./research-progress-log/experiment_launches/2026-04-14_mgr_sid_stage3_prefix_retained_industrial/README.md,Industrial stage-3 first full downstream test of R401b candidate codebook space; title_history2sid_on + desc_align_p05 SFT/evaluate completed on 4 GPUs; result is negative relative to current v2_on_p05 and also slightly below stage2 R202a under the same recipe.
sft_industrial_mgr_stage3_r401d_title_on_desc_p05_20260415_034005,2026-04-15 00:41:28,2026-04-15 03:40:05 CST,industrial,Industrial_and_Scientific,Industrial_and_Scientific_5_2016-10-2018-11,mgr_stage3_r401d_title_on_desc_p05,tok_industrial_stage3_r401d_g005_a005,stage3_r401d_g005_a005,stage3_prefix_retained,title_history2sid_on+desc_align_p05,true,true,0.5,title_and_description_mix,../Qwen3-1.7B,./config/experiments/sft_industrial_mgr_stage3_r401d_title_on_desc_p05.yaml,/data/leejt/OneRec/output_weights/experiments/mgr_sid_stage3_sft_eval_20260414/r401d_title_on_desc_p05/sft,/data/leejt/OneRec/output_weights/experiments/mgr_sid_stage3_sft_eval_20260414/r401d_title_on_desc_p05/sft/final_checkpoint,./results/experiments/mgr_sid_stage3_sft_eval_20260414/final_result_sft_mgr_stage3_r401d_title_on_desc_p05_Industrial_and_Scientific.json,sft_mgr_stage3_r401d_title_on_desc_p05_industrial,9khxe6hz,"2,3,4,5",1024,2,4,128,1024,10,0.0003,1.5790059566497803,0.5302212218559741,4.5,"2,3,4,5",8,50,4533,0,0.06353408,0.07871079,0.08548844,0.09353784,0.10334381,0.11669836,0.06353408,0.08978601,0.10633135,0.13148026,0.17030664,0.23803221,0.0029842648,11,./research-progress-log/experiment_launches/2026-04-14_mgr_sid_stage3_prefix_retained_industrial/README.md,"Industrial stage-3 second full downstream test of R401d candidate codebook space; title_history2sid_on + desc_align_p05 SFT/evaluate completed on 4 GPUs; result is negative relative to current v2_on_p05, strongest original SFT, and also below R401b."
sft_industrial_mgr_tagcf_r510_title_on_desc_p05_20260415_172218,2026-04-15 13:21:34,2026-04-15 17:22:18 CST,industrial,Industrial_and_Scientific,Industrial_and_Scientific_5_2016-10-2018-11,mgr_tagcf_r510_title_on_desc_p05,tok_industrial_tagcf_r510_attr_mid,tagcf_r510_attr_mid,tagcf_semantic_to_topology,title_history2sid_on+desc_align_p05,true,true,0.5,title_and_description_mix,../Qwen3-1.7B,./config/experiments/sft_industrial_mgr_tagcf_r510_title_on_desc_p05.yaml,/data/leejt/OneRec/output_weights/experiments/mgr_sid_tagcf_sft_eval_20260415/r510_title_on_desc_p05/sft,/data/leejt/OneRec/output_weights/experiments/mgr_sid_tagcf_sft_eval_20260415/r510_title_on_desc_p05/sft/final_checkpoint,./results/experiments/mgr_sid_tagcf_sft_eval_20260415/final_result_sft_mgr_tagcf_r510_title_on_desc_p05_Industrial_and_Scientific.json,sft_mgr_tagcf_r510_title_on_desc_p05_industrial,gj6ydnnz,"2,3,4,5",1024,2,4,128,1024,10,0.0003,1.6254689693450928,0.4652709028961366,5.5,"2,3,4,5",8,50,4533,0,0.07103463,0.08504532,0.08945908,0.09758171,0.10723765,0.11835304,0.07103463,0.09530113,0.10611074,0.13148026,0.16964483,0.22567836,0.0029842648,11,./research-progress-log/experiment_launches/2026-04-15_mgr_sid_tagcf_r510_attr_mid/README.md,"Industrial TAGCF first full downstream test of R510 candidate codebook space; title_history2sid_on + desc_align_p05 SFT/evaluate completed on 4 GPUs; result is negative relative to current v2_on_p05, R202a, and R401b, though still above R401d on NDCG@10."
sft_industrial_mgr_r630c_title_on_desc_p05_20260416_203557,2026-04-16 16:39:38,2026-04-16 20:35:57 CST,industrial,Industrial_and_Scientific,Industrial_and_Scientific_5_2016-10-2018-11,mgr_r630c_title_on_desc_p05,tok_industrial_r630c_mid_pull_push,r630c_mid_pull_push,mgr_mid_pull_push,title_history2sid_on+desc_align_p05,true,true,0.5,title_and_description_mix,../Qwen3-1.7B,./config/experiments/sft_industrial_mgr_r630c_title_on_desc_p05.yaml,/data/leejt/OneRec/output_weights/experiments/mgr_sid_r630c_sft_eval_20260416/title_on_desc_p05/sft,/data/leejt/OneRec/output_weights/experiments/mgr_sid_r630c_sft_eval_20260416/title_on_desc_p05/sft/final_checkpoint,./results/experiments/mgr_sid_r630c_sft_eval_20260416/final_result_sft_mgr_r630c_title_on_desc_p05_Industrial_and_Scientific.json,sft_mgr_r630c_title_on_desc_p05_industrial,evlagdja,"2,3,4,5",1024,2,4,128,1024,10,0.0003,1.5975239276885986,0.4623588288776232,5.5,"2,3,4,5",8,50,4533,0,0.06198985,0.07875537,0.08503064,0.09261199,0.10277690,0.11357566,0.06198985,0.09066843,0.10589014,0.12971542,0.17008604,0.22457534,0.0029842648,11,./research-progress-log/experiment_launches/2026-04-16_mgr_sid_r630_mid_pull_push_industrial/README.md,"Current v2-recipe downstream adjudication for R630c; tokenizer-side gains did not survive SFT/evaluate, reinforcing that generated collision is not a reliable promotion metric."
sft_industrial_mgr_r640c_title_on_desc_p05_20260417_044859,2026-04-17 04:49:00,2026-04-17 04:48:59 CST,industrial,Industrial_and_Scientific,Industrial_and_Scientific_5_2016-10-2018-11,mgr_r640c_title_on_desc_p05,tok_industrial_r640c_seq2graph_rel_masked,r640c_seq2graph_rel_masked,mgr_seq2graph_lite,title_history2sid_on+desc_align_p05,true,true,0.5,title_and_description_mix,../Qwen3-1.7B,./config/experiments/sft_industrial_mgr_r640c_title_on_desc_p05.yaml,/data/leejt/OneRec/output_weights/experiments/mgr_sid_r640c_sft_eval_20260417/title_on_desc_p05/sft,/data/leejt/OneRec/output_weights/experiments/mgr_sid_r640c_sft_eval_20260417/title_on_desc_p05/sft/final_checkpoint,./results/experiments/mgr_sid_r640c_sft_eval_20260417/final_result_sft_mgr_r640c_title_on_desc_p05_Industrial_and_Scientific.json,sft_mgr_r640c_title_on_desc_p05_industrial,wkmrbsn7,"2,3,4,5",1024,2,4,128,1024,10,0.0003,1.5987722873687744,0.4760145429028659,5.5,"2,3,4,5",8,50,4533,0,0.06265167,0.07810151,0.08528820,0.09305728,0.10191194,0.11386779,0.06265167,0.08956541,0.10699316,0.13125965,0.16633576,0.22678138,0.0032555616,12,./research-progress-log/experiment_launches/2026-04-16_mgr_sid_r640_seq2graph_lite_industrial/README.md,"R645 downstream adjudication for R640c Seq2Graph-lite rel_masked carrier under the current v2 recipe; result is negative versus current v2_on_p05 SFT and strongest original SFT, so carrier-only smoothness is not promotable, but this does not by itself reject the later high-order carrier plus explicit push-pull direction."
