variant,collision,duplicate_full_sid,max_conflict,active_l1,active_l12,h_l2_given_l1,h_l3_given_l12,l1_family_purity,l1_brand_purity,l12_family_purity,l12_brand_purity
original,0.004340748779164406,16,3,48,2295,5.465921678023718,1.025387422636802,0.6117742810634835,0.16820401519262085,0.9196961475854201,0.8545849158979539
l3_collab,0.00352685838307108,13,2,95,2632,4.845539680033937,0.749826883750614,0.6326641345632127,0.20699945740640283,0.9533369506239363,0.9194248507867152
l2_multihop_ranking,0.004069451980466631,15,2,88,2449,4.778434743291636,0.8800178368867083,0.62805208898535,0.20157352143244725,0.9405860010851456,0.8860553445468929
