variant,total,exact_in_top10,exact_in_top10_rate,L1_missing_top10,L1_missing_top10_rate,L1_present_L2_missing_top10,L1_present_L2_missing_top10_rate,L12_present_leaf_missing_top10,L12_present_leaf_missing_top10_rate,exact_in_top50,exact_in_top50_rate,L1_missing_top50,L1_missing_top50_rate,L1_present_L2_missing_top50,L1_present_L2_missing_top50_rate,L12_present_leaf_missing_top50,L12_present_leaf_missing_top50_rate
r720e,4533,662,0.1460401500110302,3134,0.6913743657621884,494,0.10897860136774763,243,0.053606882859033755,1138,0.25104787116699756,2229,0.49172733289212445,880,0.1941319214648136,286,0.06309287447606442
r720b,4533,632,0.13942201632472975,2996,0.6609309508052063,646,0.14251047871166997,259,0.057136554158394,1088,0.2400176483564968,2170,0.4787116699757335,1006,0.22192808294727553,269,0.059342598720494154
orig_align,4533,663,0.14626075446724024,2534,0.5590116920361792,1053,0.23229649238914626,283,0.06243106110743437,1099,0.24244429737480697,1535,0.3386278402823737,1542,0.34017207147584383,357,0.07875579086697551
orig_strong,4533,684,0.15089344804765056,2581,0.5693801014780498,996,0.21972203838517537,272,0.0600044120891242,1112,0.24531215530553718,1659,0.36598279285241564,1447,0.31921464813589234,315,0.06949040370615486
v2,4533,663,0.14626075446724024,3118,0.6878446944628281,495,0.10919920582395765,257,0.05669534524597397,1125,0.24818001323626737,2297,0.5067284359144054,824,0.18177807191705272,287,0.06331347893227443
