family,count,r720e_hit1,r720e_hit10,r720e_top10_l1,r720e_top1_l1,r720b_hit1,r720b_hit10,r720b_top10_l1,r720b_top1_l1,orig_align_hit1,orig_align_hit10,orig_align_top10_l1,orig_align_top1_l1,orig_strong_hit1,orig_strong_hit10,orig_strong_top10_l1,orig_strong_top1_l1,v2_hit1,v2_hit10,v2_top10_l1,v2_top1_l1,delta_e_b_hit10,delta_e_orig_hit10,delta_e_v2_hit10
other,1873,0.04217832354511479,0.07421249332621463,0.16657768286171917,0.06940736785904965,0.043246129204484784,0.07421249332621463,0.15376401494927924,0.06940736785904965,0.039508809396689805,0.07261078483715963,0.2824345969033636,0.11051788574479444,0.04271222637479979,0.07528029898558462,0.26801922050186866,0.1206620395088094,0.044847837693539776,0.07314468766684463,0.15589962626801923,0.06673785371062467,0.0,0.0016017084890549982,0.0010678056593699942
3d_filament,1101,0.02452316076294278,0.18982742960944596,0.5540417801998183,0.3278837420526794,0.0326975476839237,0.16530426884650318,0.6739327883742052,0.3642143505903724,0.03723887375113533,0.2016348773841962,0.7384196185286104,0.5504087193460491,0.02452316076294278,0.2125340599455041,0.734786557674841,0.5712988192552225,0.03178928247048138,0.19346049046321526,0.5767484105358764,0.27157129881925524,0.02452316076294278,-0.011807447774750235,-0.0036330608537692988
gauge_meter,513,0.3138401559454191,0.442495126705653,0.49707602339181284,0.35282651072124754,0.3489278752436647,0.46393762183235865,0.543859649122807,0.3840155945419103,0.33528265107212474,0.43859649122807015,0.5730994152046783,0.40545808966861596,0.32748538011695905,0.4249512670565302,0.557504873294347,0.38791423001949316,0.3333333333333333,0.4171539961013645,0.48927875243664715,0.3586744639376218,-0.021442495126705652,0.003898635477582846,0.025341130604288498
tape,301,0.023255813953488372,0.09966777408637874,0.24584717607973422,0.09966777408637874,0.023255813953488372,0.08637873754152824,0.19933554817275748,0.10631229235880399,0.013289036544850499,0.0664451827242525,0.3122923588039867,0.15282392026578073,0.029900332225913623,0.09966777408637874,0.33554817275747506,0.132890365448505,0.029900332225913623,0.09302325581395349,0.16279069767441862,0.06976744186046512,0.013289036544850502,0.03322259136212624,0.006644518272425251
connector_fitting,273,0.03663003663003663,0.09523809523809523,0.21978021978021978,0.1282051282051282,0.02564102564102564,0.08058608058608059,0.2490842490842491,0.0989010989010989,0.054945054945054944,0.10989010989010989,0.4175824175824176,0.23443223443223443,0.04395604395604396,0.12087912087912088,0.3956043956043956,0.23076923076923078,0.04395604395604396,0.11721611721611722,0.2893772893772894,0.09523809523809523,0.014652014652014642,-0.014652014652014655,-0.021978021978021983
adhesive_epoxy,224,0.004464285714285714,0.049107142857142856,0.1875,0.0625,0.004464285714285714,0.049107142857142856,0.21428571428571427,0.03571428571428571,0.008928571428571428,0.07142857142857142,0.3482142857142857,0.16964285714285715,0.017857142857142856,0.05803571428571429,0.3482142857142857,0.13839285714285715,0.008928571428571428,0.0625,0.20535714285714285,0.07142857142857142,0.0,-0.02232142857142857,-0.013392857142857144
fastener,142,0.007042253521126761,0.04929577464788732,0.14084507042253522,0.08450704225352113,0.0,0.028169014084507043,0.1619718309859155,0.04225352112676056,0.0,0.028169014084507043,0.30985915492957744,0.1056338028169014,0.007042253521126761,0.028169014084507043,0.24647887323943662,0.08450704225352113,0.014084507042253521,0.035211267605633804,0.2323943661971831,0.09154929577464789,0.021126760563380278,0.021126760563380278,0.014084507042253516
ventilation_fan,64,0.046875,0.140625,0.28125,0.078125,0.03125,0.09375,0.28125,0.0625,0.046875,0.140625,0.328125,0.125,0.03125,0.140625,0.296875,0.109375,0.0625,0.171875,0.25,0.078125,0.046875,0.0,-0.03125
metadata_placeholder,30,0.0,0.06666666666666667,0.16666666666666666,0.0,0.03333333333333333,0.13333333333333333,0.3333333333333333,0.03333333333333333,0.0,0.0,0.1,0.0,0.0,0.0,0.16666666666666666,0.0,0.03333333333333333,0.16666666666666666,0.26666666666666666,0.1,-0.06666666666666667,0.06666666666666667,-0.09999999999999999
