family,count,l1_missing_rate,l1_present_rate,hit10,hit50,mean_target_l1_size,mean_target_l1_purity,top10_same_family_bucket_rate,top10_same_top_family_rate
other,1873,0.8334223171382809,0.16657768286171917,0.07421249332621463,0.13507741591030434,20.10464495461826,0.8154476329891432,0.99572877736252,0.9060331019754405
3d_filament,1101,0.4459582198001817,0.5540417801998183,0.18982742960944596,0.40417801998183467,54.18619436875568,0.863517121381292,0.9673024523160763,0.8900999091734787
gauge_meter,513,0.5029239766081872,0.49707602339181284,0.442495126705653,0.5321637426900585,18.019493177387915,0.6621556043190151,0.9239766081871345,0.695906432748538
tape,301,0.7541528239202657,0.24584717607973422,0.09966777408637874,0.17275747508305647,24.385382059800666,0.81787261184536,0.7508305647840532,0.49169435215946844
connector_fitting,273,0.7802197802197802,0.21978021978021978,0.09523809523809523,0.19413919413919414,28.875457875457876,0.7987522802017232,0.7802197802197802,0.5457875457875457
adhesive_epoxy,224,0.8125,0.1875,0.049107142857142856,0.12053571428571429,19.075892857142858,0.7744361963438493,0.5491071428571429,0.3482142857142857
fastener,142,0.8591549295774648,0.14084507042253522,0.04929577464788732,0.07746478873239436,25.204225352112676,0.7494430191714126,0.6690140845070423,0.2746478873239437
ventilation_fan,64,0.71875,0.28125,0.140625,0.21875,18.296875,0.5926526617918881,0.625,0.0
metadata_placeholder,30,0.8333333333333334,0.16666666666666666,0.06666666666666667,0.13333333333333333,17.466666666666665,0.8682692307692308,0.23333333333333334,0.13333333333333333
