failure_type_at10,n,rate,top1_same_l1,top1_same_l2,top1_same_family,top1_same_brand,top1_history_repeat,top10_history_repeat_mean,top10_has_l1,top10_has_l2,target_l1_in_history,target_l2_in_history,mean_target_l1_bucket_size,mean_target_l2_bucket_size
l1_routing_miss,2581,0.5693801014780498,0.0,0.0,0.27896164277411856,0.004649360712901976,0.4606741573033708,1.628051142967842,0.0,0.0,0.09879891514916699,0.010073614877954282,94.3572258814413,3.289810151104223
l2_routing_miss_after_l1_hit,996,0.21972203838517537,0.4457831325301205,0.0,0.5933734939759037,0.07329317269076305,0.3755020080321285,1.5451807228915662,1.0,0.0,0.7208835341365462,0.05120481927710843,146.17570281124497,6.296184738955823
hit10,684,0.15089344804765056,0.8201754385964912,0.6915204678362573,0.8406432748538012,0.7543859649122807,0.4678362573099415,1.659356725146199,1.0,1.0,0.8728070175438597,0.7280701754385965,131.3450292397661,10.223684210526315
leaf_or_ranking_miss_after_l2_hit,272,0.0600044120891242,0.7573529411764706,0.45955882352941174,0.8455882352941176,0.5,0.23529411764705882,1.5514705882352942,1.0,1.0,0.9264705882352942,0.7573529411764706,182.2389705882353,19.511029411764707
