graph,nnz,mean_out_degree,median_out_degree,asymmetry_l1_ratio,top10_same_family_rate,top10_semantic_cosine,top10_overlap_with_coarse,top10_overlap_with_local,top10_direct_support_hit_rate,semantic_near_mid_weak_pair_count,semantic_near_mid_weak_coverage
coarse_purified,55336,15.012479652740097,13.0,0.6198802590370178,0.4935446929725467,0.7917356744113329,1.0,0.3053218227260121,1.0,111729,1.0
fagsp_mid_base,117952,32.0,32.0,1.644447922706604,0.4194791101465003,0.7690812345276821,0.019997210668380474,0.011986991715125864,0.08760173629951166,109643,1.0
fagsp_mid_cascade,117952,32.0,32.0,1.3028533458709717,0.45271296798697774,0.7636573332130941,0.022640803443804168,0.012859197161412136,0.0774009766684753,110569,0.9994574064026045
fagsp_mid_prism,117952,32.0,32.0,1.6615476608276367,0.40189907759088445,0.7684636312985123,0.020476213498930196,0.011704461030996127,0.0847802495930548,109387,1.0
local_multihop,106345,28.851058057514923,32.0,1.9535475969314575,0.4744830520870733,0.7844166557271531,0.2355099061132171,0.5777813153057499,0.6837390238604983,107499,1.0
local_purified,28050,7.609875203472599,5.0,1.8984873294830322,0.5041750237984548,0.7959882004656719,0.3051458901341021,1.0,0.9826981913174383,112046,1.0
