family,count,r720b_hit1,r720b_hit10,orig_align_hit1,orig_align_hit10,orig_best_hit1,orig_best_hit10,delta_hit10_vs_align,delta_hit10_vs_best
other,1873,0.043246129204484784,0.07421249332621463,0.039508809396689805,0.07261078483715963,0.04271222637479979,0.07528029898558462,0.0016017084890549982,-0.0010678056593699942
3d_filament,1101,0.0326975476839237,0.16530426884650318,0.03723887375113533,0.2016348773841962,0.02452316076294278,0.2125340599455041,-0.036330608537693015,-0.04722979109900091
gauge_meter,513,0.3489278752436647,0.46393762183235865,0.33528265107212474,0.43859649122807015,0.32748538011695905,0.4249512670565302,0.025341130604288498,0.03898635477582846
tape,301,0.023255813953488372,0.08637873754152824,0.013289036544850499,0.0664451827242525,0.029900332225913623,0.09966777408637874,0.01993355481727574,-0.013289036544850502
connector_fitting,273,0.02564102564102564,0.08058608058608059,0.054945054945054944,0.10989010989010989,0.04395604395604396,0.12087912087912088,-0.029304029304029297,-0.04029304029304029
adhesive_epoxy,224,0.004464285714285714,0.049107142857142856,0.008928571428571428,0.07142857142857142,0.017857142857142856,0.05803571428571429,-0.02232142857142857,-0.008928571428571432
fastener,142,0.0,0.028169014084507043,0.0,0.028169014084507043,0.007042253521126761,0.028169014084507043,0.0,0.0
ventilation_fan,64,0.03125,0.09375,0.046875,0.140625,0.03125,0.140625,-0.046875,-0.046875
metadata_placeholder,30,0.03333333333333333,0.13333333333333333,0.0,0.0,0.0,0.0,0.13333333333333333,0.13333333333333333
test_strip,12,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.16666666666666666,-0.08333333333333333,-0.16666666666666666
