variant,collision_count,collision_rate,active_l1,unique_l12,unique_sid,mean_l1_size,median_l1_size,max_l1_size,min_l1_size,l1_le5,l1_le10,l1_le20,l1_ge50,l1_entropy,H_l2_given_l1,H_l3_given_l12,avg_l1_bucket_purity,target_l1_in_history_rate,target_l12_in_history_rate
original,16,0.004340748779164406,48,2295,3670,76.79166666666667,67.5,247,1,1,1,3,35,3.7067050258618877,3.788688200283625,0.7107444009823364,0.7323495588949128,0.40194131921464815,0.17229208030002205
v2,13,0.00352685838307108,203,2680,3673,18.157635467980295,16.0,97,1,7,34,139,3,5.185494830632839,2.526279350575346,0.4956336931326651,0.790457142525636,0.25170968453562764,0.14979042576660048
r720b,11,0.002984264785675529,247,2889,3675,14.923076923076923,13.0,105,2,12,70,212,2,5.36282106700519,2.456147921114174,0.3891910806659443,0.807347778159383,0.26053386278402824,0.14361350099272005
r720e,13,0.00352685838307108,190,2695,3673,19.4,18.0,77,5,2,17,130,3,5.145379432870606,2.596911668501326,0.46511677296891385,0.7856545065337066,0.25634237811603794,0.13721597176262962
r720f_k1_128,11,0.002984264785675529,124,2640,3675,29.725806451612904,29.0,104,1,2,2,22,7,4.742120285105293,2.964215149001611,0.5018246346783934,0.7722053439426293,0.2753143613500993,0.14515773218619016
