family,l1_code,family_item_count_in_bucket,bucket_item_count,bucket_family_purity,top_bucket_families
adhesive_epoxy,<a_101>,10,166,0.060241,other:93; gauge_meter:30; connector_fitting:18; adhesive_epoxy:10; tape:8
adhesive_epoxy,<a_244>,8,50,0.16,other:24; tape:11; adhesive_epoxy:8; 3d_filament:3; ventilation_fan:2
adhesive_epoxy,<a_48>,5,182,0.027473,tape:165; fastener:8; adhesive_epoxy:5; other:2; 3d_filament:2
adhesive_epoxy,<a_66>,4,181,0.022099,other:80; 3d_filament:70; tape:13; fastener:7; adhesive_epoxy:4
adhesive_epoxy,<a_173>,2,142,0.014085,other:90; gauge_meter:47; adhesive_epoxy:2; test_strip:1; tape:1
adhesive_epoxy,<a_20>,2,113,0.017699,other:82; connector_fitting:12; gauge_meter:9; fastener:8; adhesive_epoxy:2
adhesive_epoxy,<a_213>,2,83,0.024096,other:75; ventilation_fan:5; adhesive_epoxy:2; tape:1
adhesive_epoxy,<a_85>,1,104,0.009615,3d_filament:56; other:44; tape:3; adhesive_epoxy:1
fastener,<a_45>,117,162,0.722222,fastener:117; other:36; gauge_meter:4; 3d_filament:3; tape:2
fastener,<a_99>,12,97,0.123711,gauge_meter:43; other:41; fastener:12; tape:1
fastener,<a_20>,8,113,0.070796,other:82; connector_fitting:12; gauge_meter:9; fastener:8; adhesive_epoxy:2
fastener,<a_48>,8,182,0.043956,tape:165; fastener:8; adhesive_epoxy:5; other:2; 3d_filament:2
fastener,<a_86>,8,145,0.055172,other:123; gauge_meter:11; fastener:8; 3d_filament:2; ventilation_fan:1
fastener,<a_66>,7,181,0.038674,other:80; 3d_filament:70; tape:13; fastener:7; adhesive_epoxy:4
fastener,<a_17>,4,165,0.024242,adhesive_epoxy:80; other:79; fastener:4; ventilation_fan:2
fastener,<a_100>,3,85,0.035294,other:63; connector_fitting:12; 3d_filament:7; fastener:3
fastener,<a_125>,3,101,0.029703,other:84; gauge_meter:13; fastener:3; tape:1
fastener,<a_202>,3,103,0.029126,other:66; connector_fitting:21; gauge_meter:5; ventilation_fan:4; fastener:3
fastener,<a_226>,3,110,0.027273,other:86; gauge_meter:15; test_strip:6; fastener:3
fastener,<a_64>,2,59,0.033898,other:45; gauge_meter:6; connector_fitting:3; ventilation_fan:3; fastener:2
other,<a_86>,123,145,0.848276,other:123; gauge_meter:11; fastener:8; 3d_filament:2; ventilation_fan:1
other,<a_198>,103,109,0.944954,other:103; ventilation_fan:4; connector_fitting:1; fastener:1
other,<a_163>,100,114,0.877193,other:100; gauge_meter:6; ventilation_fan:6; fastener:1; connector_fitting:1
other,<a_44>,99,106,0.933962,other:99; connector_fitting:5; ventilation_fan:2
other,<a_101>,93,166,0.560241,other:93; gauge_meter:30; connector_fitting:18; adhesive_epoxy:10; tape:8
other,<a_173>,90,142,0.633803,other:90; gauge_meter:47; adhesive_epoxy:2; test_strip:1; tape:1
other,<a_226>,86,110,0.781818,other:86; gauge_meter:15; test_strip:6; fastener:3
other,<a_98>,85,148,0.574324,other:85; gauge_meter:39; connector_fitting:11; ventilation_fan:5; tape:2
other,<a_125>,84,101,0.831683,other:84; gauge_meter:13; fastener:3; tape:1
other,<a_20>,82,113,0.725664,other:82; connector_fitting:12; gauge_meter:9; fastener:8; adhesive_epoxy:2
other,<a_153>,80,121,0.661157,other:80; gauge_meter:37; 3d_filament:2; connector_fitting:2
other,<a_66>,80,181,0.441989,other:80; 3d_filament:70; tape:13; fastener:7; adhesive_epoxy:4
