tokenizer,l1_same_pair_count,l1_weighted_semantic_mean,l1_bucket_semantic_mean_avg,l1_top5_bucket_semantic_mean,l2_same_pair_count,l2_weighted_semantic_mean,l2_bucket_semantic_mean_avg,l2_top5_bucket_semantic_mean
Main,147401,0.8629865148565805,0.8387104858954747,0.8878692388534546,3626,0.9686560853863709,0.9495458432979751,0.9781208753585815
L3 InfoNCE=0.005,102877,0.8820221873630392,0.8496071854804425,0.896983802318573,2738,0.9726215210206497,0.9502576575836986,0.9892277240753173
L3 InfoNCE=0.010,150801,0.8662406982531667,0.8389779186960477,0.884985375404358,4390,0.9606505154748712,0.940722546310668,0.9784128665924072
L3 InfoNCE=0.020,111010,0.8676506127159763,0.8467859754079505,0.8801530957221985,2916,0.9716824331769237,0.9520375316793268,0.9899977922439576
